Date,Bullish,Neutral,Bearish,Total,8-week,Spread,SPYHighWk,SPYLowWK,SPYCloseWK
10/24/2013,49.20%,33.23%,17.57%,100%,42.11%,31.60%,"1,759.33","1,695.93","1,746.38"
10/31/2013,44.97%,33.56%,21.48%,100%,43.29%,23.50%,"1,775.22","1,740.50","1,763.31"
11/7/2013,45.48%,32.71%,21.81%,100%,43.28%,23.70%,"1,775.22","1,752.70","1,770.49"
11/14/2013,39.20%,33.33%,27.47%,100%,42.54%,11.70%,"1,782.00","1,746.20","1,782.00"
11/21/2013,34.39%,36.13%,29.48%,100%,42.34%,4.90%,"1,802.33","1,760.64","1,781.37"
11/28/2013,47.30%,24.44%,28.25%,100%,43.52%,19.00%,"1,808.42","1,777.23","1,807.23"
12/5/2013,42.64%,29.81%,27.55%,100%,43.68%,15.10%,"1,813.55","1,779.09","1,792.81"
12/12/2013,41.27%,33.73%,25.00%,100%,43.06%,16.30%,"1,811.52","1,779.09","1,782.22"
12/19/2013,47.46%,27.46%,25.08%,100%,42.84%,22.40%,"1,811.08","1,767.99","1,810.65"
12/26/2013,55.06%,26.40%,18.54%,100%,44.10%,36.50%,"1,833.32","1,767.99","1,833.32"
1/2/2014,43.09%,27.64%,29.27%,100%,43.80%,13.80%,"1,849.44","1,810.25","1,848.36"
1/9/2014,43.62%,31.38%,25.00%,100%,44.35%,18.60%,"1,849.44","1,823.73","1,837.49"
1/16/2014,38.99%,39.52%,21.49%,100%,44.93%,17.50%,"1,850.84","1,815.52","1,848.38"
1/23/2014,38.12%,38.12%,23.76%,100%,43.78%,14.40%,"1,850.84","1,815.52","1,844.86"
1/30/2014,32.18%,35.06%,32.76%,100%,42.47%,-0.60%,"1,850.84","1,815.52","1,844.86"
2/6/2014,27.90%,35.70%,36.41%,100%,40.80%,-8.50%,"1,798.77","1,737.92","1,751.64"
2/13/2014,40.15%,32.51%,27.34%,100%,39.89%,12.80%,"1,826.55","1,737.92","1,819.26"
2/20/2014,42.20%,35.00%,22.80%,100%,38.28%,19.40%,"1,847.50","1,826.99","1,828.75"
2/27/2014,39.69%,39.18%,21.13%,100%,37.86%,18.60%,"1,858.71","1,824.58","1,845.16"
3/6/2014,40.51%,32.86%,26.63%,100%,37.47%,13.90%,"1,876.53","1,834.44","1,873.81"
3/13/2014,41.34%,31.84%,26.82%,100%,37.76%,14.50%,"1,883.57","1,849.23","1,868.20"
3/20/2014,36.78%,37.07%,26.15%,100%,37.59%,10.60%,"1,882.35","1,839.57","1,860.77"
3/27/2014,31.16%,40.23%,28.61%,100%,37.47%,2.50%,"1,883.97","1,849.69","1,852.56"
4/3/2014,35.36%,37.86%,26.79%,100%,38.40%,8.60%,"1,893.17","1,842.11","1,890.90"
4/10/2014,28.48%,37.42%,34.11%,100%,36.94%,-5.60%,"1,897.28","1,837.49","1,872.18"
4/17/2014,27.22%,38.53%,34.25%,100%,35.07%,-7.00%,"1,872.53","1,814.36","1,862.31"
4/24/2014,34.50%,39.47%,26.02%,100%,34.42%,8.50%,"1,884.89","1,815.80","1,875.39"
5/1/2014,29.77%,40.78%,29.45%,100%,33.08%,0.30%,"1,885.20","1,850.61","1,883.95"
5/8/2014,28.34%,42.99%,28.66%,100%,31.45%,-0.30%,"1,891.33","1,859.79","1,878.21"
5/15/2014,33.12%,44.27%,22.61%,100%,30.99%,10.50%,"1,902.17","1,859.79","1,888.53"
5/22/2014,30.43%,43.17%,26.40%,100%,30.90%,4.00%,"1,902.17","1,862.36","1,888.03"
5/29/2014,36.46%,40.33%,23.20%,100%,31.04%,13.30%,"1,914.46","1,868.14","1,909.78"
6/5/2014,39.51%,38.27%,22.22%,100%,32.42%,17.30%,"1,928.63","1,902.01","1,927.88"
6/12/2014,44.69%,34.06%,21.25%,100%,34.60%,23.40%,"1,955.55","1,918.60","1,943.89"
6/19/2014,35.17%,40.70%,24.13%,100%,34.69%,11.00%,"1,957.74","1,925.78","1,956.98"
6/26/2014,37.22%,41.69%,21.09%,100%,35.62%,16.10%,"1,968.17","1,933.55","1,959.53"
7/3/2014,38.51%,39.10%,22.39%,100%,36.89%,16.10%,"1,978.58","1,944.69","1,974.62"
7/10/2014,37.64%,33.71%,28.65%,100%,37.45%,9.00%,"1,985.59","1,958.22","1,972.83"
7/17/2014,32.36%,39.16%,28.48%,100%,37.70%,3.90%,"1,983.94","1,952.86","1,981.57"
7/24/2014,29.63%,40.43%,29.94%,100%,36.84%,-0.30%,"1,989.23","1,955.59","1,987.01"
7/31/2014,31.12%,37.76%,31.12%,100%,35.79%,0.00%,"1,991.39","1,962.42","1,970.07"
8/7/2014,30.89%,30.89%,38.23%,100%,34.07%,-7.30%,"1,984.85","1,911.45","1,920.24"
8/14/2014,39.81%,33.23%,26.96%,100%,34.65%,12.90%,"1,936.34","1,904.78","1,946.72"
8/21/2014,46.11%,30.24%,23.65%,100%,35.76%,22.50%,"1,988.57","1,928.29","1,986.51"
8/28/2014,51.92%,28.85%,19.23%,100%,37.44%,32.70%,"2,005.04","1,972.73","2,000.12"
9/4/2014,44.67%,31.36%,23.96%,100%,38.31%,20.70%,"2,009.28","1,990.52","2,000.72"
9/11/2014,40.38%,33.01%,26.60%,100%,39.32%,13.80%,"2,011.17","1,982.99","1,995.69"
9/18/2014,42.24%,34.78%,22.98%,100%,40.89%,19.30%,"2,010.74","1,978.48","2,001.57"
9/25/2014,41.84%,29.93%,28.23%,100%,42.23%,13.60%,"2,019.26","1,978.63","1,998.30"
10/2/2014,35.42%,33.68%,30.90%,100%,42.80%,4.50%,"1,999.79","1,941.72","1,946.16"
10/9/2014,39.88%,29.14%,30.98%,100%,42.81%,8.90%,"1,985.17","1,925.25","1,968.89"
10/16/2014,42.66%,23.64%,33.70%,100%,42.38%,9.00%,"1,970.36","1,820.66","1,862.49"
10/23/2014,49.69%,27.81%,22.50%,100%,42.10%,27.20%,"1,949.31","1,820.66","1,927.11"
10/30/2014,49.37%,29.56%,21.07%,100%,42.68%,28.30%,"1,991.40","1,909.38","1,982.30"
11/6/2014,52.69%,32.26%,15.05%,100%,44.22%,37.60%,"2,024.46","1,964.14","2,023.57"
11/13/2014,57.93%,22.76%,19.31%,100%,46.18%,38.60%,"2,041.28","2,001.01","2,038.25"
11/20/2014,49.12%,27.06%,23.82%,100%,47.09%,25.30%,"2,056.08","2,030.44","2,048.72"
11/27/2014,52.15%,27.06%,20.79%,100%,49.19%,31.40%,"2,075.76","2,040.37","2,067.56"
12/4/2014,42.68%,31.38%,25.94%,100%,49.54%,16.70%,"2,076.28","2,049.57","2,074.33"
12/11/2014,45.02%,32.65%,22.34%,100%,49.83%,22.70%,"2,079.47","2,024.26","2,026.14"
12/18/2014,38.74%,34.39%,26.88%,100%,48.46%,11.90%,"2,060.60","2,002.33","2,012.89"
12/25/2014,50.94%,30.19%,18.87%,100%,48.66%,32.10%,"2,093.55","2,018.98","2,090.57"
1/1/2015,51.74%,28.96%,19.31%,100%,48.54%,32.40%,"2,093.55","2,017.34","2,020.58"
1/8/2015,41.01%,31.30%,27.70%,100%,46.42%,13.30%,"2,093.55","1,992.44","2,025.90"
1/15/2015,46.11%,32.40%,21.50%,100%,46.05%,24.60%,"2,064.43","1,988.44","2,011.27"
1/22/2015,37.14%,32.06%,30.79%,100%,44.17%,6.30%,"2,056.93","1,988.12","2,032.12"
1/29/2015,44.17%,33.44%,22.39%,100%,44.36%,21.80%,"2,064.62","2,001.49","2,002.16"
2/5/2015,35.49%,32.08%,32.42%,100%,43.17%,3.10%,"2,057.62","1,980.90","2,050.03"
2/12/2015,40.00%,39.67%,20.33%,100%,43.33%,19.70%,"2,073.48","2,022.71","2,068.53"
2/19/2015,47.02%,35.10%,17.88%,100%,42.84%,29.10%,"2,101.30","2,041.88","2,099.68"
2/26/2015,45.37%,34.33%,20.30%,100%,42.04%,25.10%,"2,119.59","2,085.44","2,113.86"
3/5/2015,39.80%,36.84%,23.36%,100%,41.89%,16.40%,"2,119.59","2,087.62","2,098.53"
3/12/2015,31.60%,43.00%,25.41%,100%,40.08%,6.20%,"2,115.76","2,039.69","2,040.24"
3/19/2015,27.16%,41.36%,31.48%,100%,38.83%,-4.30%,"2,106.85","2,039.69","2,099.50"
3/26/2015,38.43%,37.19%,24.38%,100%,38.11%,14.00%,"2,114.86","2,061.05","2,061.05"
4/2/2015,35.40%,32.65%,31.96%,100%,38.10%,3.40%,"2,107.63","2,045.50","2,059.69"
4/9/2015,28.70%,47.15%,24.15%,100%,36.68%,4.60%,"2,089.81","2,048.38","2,081.90"
4/16/2015,32.07%,45.15%,22.78%,100%,34.82%,9.30%,"2,111.91","2,073.30","2,106.63"
4/23/2015,31.47%,45.34%,23.19%,100%,33.08%,8.30%,"2,111.91","2,072.37","2,107.96"
4/30/2015,30.84%,47.21%,21.95%,100%,31.96%,8.90%,"2,125.92","2,091.05","2,106.85"
5/7/2015,27.06%,46.10%,26.84%,100%,31.39%,0.20%,"2,120.95","2,067.93","2,080.15"
5/14/2015,26.74%,46.90%,26.36%,100%,31.34%,0.40%,"2,117.69","2,067.93","2,098.48"
5/21/2015,25.21%,49.79%,25.00%,100%,29.69%,0.20%,"2,134.72","2,085.57","2,125.85"
5/28/2015,27.00%,47.86%,25.14%,100%,28.64%,1.90%,"2,134.72","2,099.18","2,123.48"
6/4/2015,27.34%,48.03%,24.63%,100%,28.47%,2.70%,"2,126.22","2,099.14","2,114.07"
6/11/2015,20.04%,47.38%,32.58%,100%,26.96%,-12.50%,"2,121.92","2,072.14","2,105.20"
6/18/2015,25.41%,40.29%,34.30%,100%,26.20%,-8.90%,"2,115.02","2,072.14","2,100.44"
6/25/2015,35.56%,42.78%,21.67%,100%,26.79%,13.90%,"2,129.87","2,082.10","2,108.58"
7/2/2015,22.61%,42.30%,35.09%,100%,26.24%,-12.50%,"2,128.03","2,056.32","2,077.42"
7/9/2015,27.91%,42.92%,29.18%,100%,26.38%,-1.30%,"2,098.63","2,044.02","2,046.68"
7/16/2015,30.81%,45.95%,23.24%,100%,27.08%,7.60%,"2,114.14","2,044.02","2,107.40"
7/23/2015,32.54%,41.87%,25.60%,100%,27.78%,6.90%,"2,132.82","2,102.49","2,114.15"
7/30/2015,21.11%,38.19%,40.70%,100%,27.00%,-19.60%,"2,132.82","2,063.52","2,108.57"
8/6/2015,24.32%,44.03%,31.66%,100%,27.53%,-7.30%,"2,114.24","2,063.52","2,099.84"
8/13/2015,30.45%,33.40%,36.15%,100%,28.16%,-5.70%,"2,112.66","2,052.09","2,086.05"
8/20/2015,26.82%,39.85%,33.33%,100%,27.07%,-6.50%,"2,103.47","2,052.09","2,079.61"
8/27/2015,32.50%,29.23%,38.27%,100%,28.31%,-5.80%,"2,103.47","1,867.01","1,940.51"
9/3/2015,32.38%,35.94%,31.67%,100%,28.87%,0.70%,"1,993.48","1,867.08","1,948.86"
9/10/2015,34.65%,30.34%,35.01%,100%,29.35%,-0.40%,"1,988.63","1,903.07","1,942.04"
9/17/2015,33.26%,37.60%,29.13%,100%,29.44%,4.10%,"1,997.26","1,927.30","1,995.31"
9/24/2015,32.12%,39.19%,28.69%,100%,30.81%,3.40%,"2,020.86","1,939.19","1,966.97"
10/1/2015,28.11%,31.98%,39.92%,100%,31.29%,-11.80%,"1,979.64","1,871.91","1,884.09"
10/8/2015,37.52%,34.29%,28.19%,100%,32.17%,9.30%,"1,999.31","1,871.91","1,995.83"
10/15/2015,34.08%,38.78%,27.14%,100%,33.08%,6.90%,"2,022.34","1,971.99","1,994.24"
10/22/2015,34.77%,41.21%,24.02%,100%,33.36%,10.70%,"2,039.12","1,990.73","2,018.94"
10/29/2015,40.39%,39.02%,20.59%,100%,34.36%,19.80%,"2,090.35","2,017.22","2,090.35"
11/5/2015,39.00%,42.40%,18.60%,100%,34.91%,20.40%,"2,116.48","2,058.84","2,102.31"
11/12/2015,34.27%,42.72%,23.00%,100%,35.03%,11.30%,"2,116.48","2,068.24","2,075.00"
11/19/2015,30.77%,38.68%,30.55%,100%,34.86%,0.20%,"2,086.94","2,019.39","2,083.58"
11/26/2015,32.36%,41.61%,26.03%,100%,35.40%,6.30%,"2,097.06","2,051.99","2,090.11"
12/3/2015,29.49%,49.31%,21.20%,100%,34.39%,8.30%,"2,104.27","2,070.29","2,079.51"
12/10/2015,28.51%,41.61%,29.89%,100%,33.69%,-1.40%,"2,104.27","2,036.53","2,047.62"
12/17/2015,23.87%,36.75%,39.38%,100%,32.33%,-15.50%,"2,080.33","1,993.26","2,073.07"
12/24/2015,26.38%,42.13%,31.49%,100%,30.58%,-5.10%,"2,076.72","1,993.26","2,064.29"
12/31/2015,25.07%,51.31%,23.62%,100%,28.84%,1.50%,"2,081.56","2,005.93","2,063.36"
1/7/2016,22.17%,39.57%,38.26%,100%,27.33%,-16.10%,"2,081.56","1,979.05","1,990.26"
1/14/2016,17.90%,36.58%,45.53%,100%,25.72%,-27.60%,"2,021.94","1,886.41","1,890.28"
1/21/2016,21.52%,29.77%,48.71%,100%,24.36%,-27.20%,"1,950.33","1,812.29","1,859.33"
1/28/2016,29.75%,30.28%,39.96%,100%,24.40%,-10.20%,"1,916.99","1,812.29","1,882.95"
2/4/2016,27.55%,37.74%,34.72%,100%,24.28%,-7.20%,"1,947.20","1,872.23","1,912.53"
2/11/2016,19.24%,32.06%,48.70%,100%,23.70%,-29.50%,"1,935.26","1,828.46","1,851.86"
2/18/2016,27.56%,34.64%,37.80%,100%,23.85%,-10.20%,"1,930.68","1,810.10","1,926.82"
2/25/2016,31.19%,37.39%,31.42%,100%,24.61%,-0.20%,"1,946.70","1,871.44","1,929.80"
3/3/2016,32.02%,38.74%,29.25%,100%,25.84%,2.80%,"1,986.51","1,891.00","1,986.45"
3/10/2016,37.36%,38.27%,24.37%,100%,28.27%,13.00%,"2,009.13","1,968.80","1,989.26"
3/17/2016,29.96%,43.18%,26.86%,100%,29.33%,3.10%,"2,032.02","1,969.25","2,027.22"
3/24/2016,33.78%,42.51%,23.71%,100%,29.83%,10.10%,"2,056.60","2,010.04","2,036.71"
3/31/2016,27.18%,47.06%,25.76%,100%,29.79%,1.40%,"2,072.21","2,022.49","2,063.95"
4/7/2016,32.19%,46.35%,21.46%,100%,31.41%,10.70%,"2,075.07","2,042.56","2,066.66"
4/14/2016,27.85%,47.26%,24.89%,100%,31.44%,3.00%,"2,083.18","2,033.80","2,082.42"
4/21/2016,33.41%,42.67%,23.92%,100%,31.72%,9.50%,"2,111.05","2,065.92","2,102.40"
4/28/2016,27.37%,44.03%,28.60%,100%,31.14%,-1.20%,"2,111.05","2,077.52","2,095.15"
5/5/2016,22.33%,47.33%,30.34%,100%,29.26%,-8.00%,"2,099.89","2,045.55","2,051.12"
5/12/2016,20.41%,48.30%,31.29%,100%,28.06%,-10.90%,"2,084.87","2,039.45","2,064.46"
5/19/2016,19.34%,46.56%,34.10%,100%,26.26%,-14.80%,"2,083.29","2,034.49","2,047.63"
5/26/2016,17.75%,52.86%,29.39%,100%,25.08%,-11.60%,"2,094.73","2,025.91","2,090.54"
6/2/2016,30.17%,40.78%,29.05%,100%,24.83%,1.10%,"2,103.48","2,078.93","2,099.33"
6/9/2016,27.83%,44.34%,27.83%,100%,24.82%,0.00%,"2,119.22","2,085.10","2,112.13"
6/16/2016,25.35%,37.15%,37.50%,100%,23.82%,-12.20%,"2,120.55","2,064.10","2,071.50"
6/23/2016,21.97%,42.80%,35.23%,100%,23.14%,-13.30%,"2,100.66","2,050.37","2,085.45"
6/30/2016,28.91%,37.67%,33.42%,100%,23.97%,-4.50%,"2,113.32","1,991.68","2,070.77"
7/7/2016,31.06%,42.29%,26.65%,100%,25.30%,4.40%,"2,108.71","2,042.69","2,099.73"
7/14/2016,36.87%,38.71%,24.42%,100%,27.49%,12.40%,"2,156.45","2,074.02","2,152.43"
7/21/2016,35.43%,37.85%,26.72%,100%,29.70%,8.70%,"2,175.63","2,146.21","2,173.02"
7/28/2016,31.25%,40.34%,28.41%,100%,29.83%,2.80%,"2,175.63","2,159.07","2,166.58"
8/4/2016,29.79%,43.44%,26.77%,100%,30.08%,3.00%,"2,178.29","2,147.58","2,163.79"
8/11/2016,31.29%,41.95%,26.76%,100%,30.82%,4.50%,"2,187.66","2,152.56","2,175.49"
8/18/2016,35.56%,38.08%,26.36%,100%,32.52%,9.20%,"2,193.81","2,168.50","2,182.22"
8/25/2016,29.42%,40.94%,29.64%,100%,32.58%,-0.20%,"2,193.42","2,168.50","2,175.44"
9/1/2016,28.60%,39.87%,31.52%,100%,32.28%,-2.90%,"2,187.94","2,157.09","2,170.86"
9/8/2016,29.75%,41.77%,28.48%,100%,31.39%,1.30%,"2,187.87","2,157.09","2,186.16"
9/15/2016,27.94%,36.14%,35.92%,100%,30.45%,-8.00%,"2,187.87","2,119.12","2,125.77"
9/22/2016,24.83%,36.89%,38.28%,100%,29.65%,-13.50%,"2,165.11","2,119.90","2,163.12"
9/29/2016,24.00%,38.89%,37.11%,100%,28.92%,-13.10%,"2,179.99","2,139.57","2,171.37"
10/6/2016,28.79%,43.30%,27.90%,100%,28.61%,0.90%,"2,175.30","2,144.01","2,159.73"
10/13/2016,25.47%,40.80%,33.73%,100%,27.35%,-8.30%,"2,169.60","2,128.84","2,139.18"
10/20/2016,23.74%,38.45%,37.82%,100%,26.64%,-14.10%,"2,149.19","2,114.72","2,144.29"
10/27/2016,24.75%,41.18%,34.07%,100%,26.16%,-9.30%,"2,154.79","2,130.09","2,139.43"
11/3/2016,23.64%,42.05%,34.32%,100%,25.40%,-10.70%,"2,147.13","2,094.00","2,097.94"
11/10/2016,38.89%,31.78%,29.33%,100%,26.76%,9.60%,"2,170.10","2,083.79","2,163.26"
11/17/2016,46.65%,26.77%,26.57%,100%,29.49%,20.10%,"2,182.30","2,100.59","2,164.20"
11/24/2016,49.89%,28.03%,22.08%,100%,32.73%,27.80%,"2,204.80","2,172.20","2,204.72"
12/1/2016,43.78%,31.12%,25.10%,100%,34.60%,18.70%,"2,214.10","2,194.51","2,198.81"
12/8/2016,43.12%,30.39%,26.49%,100%,36.81%,16.60%,"2,241.63","2,187.44","2,241.35"
12/15/2016,44.66%,23.01%,32.33%,100%,39.42%,12.30%,"2,277.53","2,208.93","2,253.28"
12/22/2016,44.61%,26.24%,29.15%,100%,41.90%,15.50%,"2,272.56","2,253.77","2,258.66"
12/29/2016,45.57%,28.69%,25.74%,100%,44.65%,19.80%,"2,273.82","2,249.11","2,249.92"
1/5/2017,46.20%,28.57%,25.23%,100%,45.56%,21.00%,"2,273.82","2,233.62","2,270.75"
1/12/2017,43.64%,29.39%,26.97%,100%,45.18%,16.70%,"2,282.10","2,260.45","2,275.32"
1/19/2017,37.01%,30.32%,32.68%,100%,43.57%,4.30%,"2,279.27","2,254.25","2,271.89"
1/26/2017,31.58%,34.93%,33.49%,100%,42.05%,-1.90%,"2,299.55","2,257.02","2,298.37"
2/2/2017,32.80%,33.03%,34.17%,100%,40.76%,-1.40%,"2,300.99","2,267.21","2,279.55"
2/9/2017,35.80%,36.54%,27.65%,100%,39.65%,8.10%,"2,299.40","2,271.65","2,294.67"
2/16/2017,33.09%,34.55%,32.36%,100%,38.21%,0.70%,"2,351.31","2,296.61","2,347.22"
2/23/2017,38.46%,29.23%,32.31%,100%,37.32%,6.20%,"2,366.71","2,322.17","2,362.82"
3/2/2017,37.91%,26.47%,35.62%,100%,36.29%,2.30%,"2,400.98","2,352.87","2,395.96"
3/9/2017,30.00%,23.50%,46.50%,100%,34.58%,-16.50%,"2,400.98","2,361.01","2,362.98"
3/16/2017,31.17%,30.13%,38.70%,100%,33.85%,-7.50%,"2,390.01","2,354.54","2,385.26"
3/23/2017,35.28%,34.22%,30.50%,100%,34.31%,4.80%,"2,390.01","2,336.45","2,348.45"
3/30/2017,30.22%,32.40%,37.38%,100%,33.99%,-7.20%,"2,363.78","2,322.25","2,361.13"
4/6/2017,28.30%,32.08%,39.62%,100%,33.05%,-11.30%,"2,378.36","2,344.73","2,352.95"
4/13/2017,28.97%,33.64%,37.38%,100%,32.54%,-8.40%,"2,378.36","2,337.25","2,344.93"
4/20/2017,25.71%,35.59%,38.70%,100%,30.94%,-13.00%,"2,355.22","2,328.95","2,338.17"
4/27/2017,38.05%,30.24%,31.71%,100%,30.96%,6.30%,"2,398.16","2,335.05","2,387.45"
5/4/2017,38.07%,31.98%,29.95%,100%,31.97%,8.10%,"2,398.16","2,379.75","2,388.13"
5/11/2017,32.73%,37.05%,30.22%,100%,32.17%,2.50%,"2,403.87","2,379.75","2,399.63"
5/18/2017,23.85%,41.90%,34.25%,100%,30.74%,-10.40%,"2,405.77","2,356.21","2,357.03"
5/25/2017,32.86%,37.14%,30.00%,100%,31.07%,2.90%,"2,405.58","2,352.72","2,404.39"
6/1/2017,26.92%,41.54%,31.54%,100%,30.90%,-4.60%,"2,418.71","2,393.88","2,411.80"
6/8/2017,35.43%,35.04%,29.53%,100%,31.70%,5.90%,"2,440.23","2,403.59","2,433.14"
6/15/2017,32.27%,38.25%,29.48%,100%,32.52%,2.80%,"2,446.20","2,415.70","2,437.92"
6/22/2017,32.65%,38.44%,28.91%,100%,31.85%,3.70%,"2,453.82","2,418.53","2,435.61"
6/29/2017,29.71%,43.43%,26.86%,100%,30.80%,2.90%,"2,450.42","2,419.38","2,440.69"
7/6/2017,29.58%,40.56%,29.86%,100%,30.41%,-0.30%,"2,442.97","2,405.70","2,432.54"
7/13/2017,28.24%,42.13%,29.63%,100%,30.96%,-1.40%,"2,445.76","2,407.70","2,443.25"
7/20/2017,35.48%,38.71%,25.81%,100%,31.29%,9.70%,"2,473.83","2,435.75","2,473.83"
7/27/2017,34.46%,41.22%,24.32%,100%,32.23%,10.10%,"2,481.69","2,463.85","2,477.83"
8/3/2017,36.11%,31.79%,32.10%,100%,32.31%,4.00%,"2,484.04","2,470.30","2,477.57"
8/10/2017,33.67%,34.00%,32.33%,100%,32.49%,1.30%,"2,490.87","2,462.08","2,474.02"
8/17/2017,34.17%,33.03%,32.80%,100%,32.68%,1.40%,"2,474.93","2,437.75","2,468.11"
8/24/2017,28.10%,33.61%,38.29%,100%,32.48%,-10.20%,"2,474.93","2,417.35","2,444.04"
8/31/2017,25.00%,35.11%,39.89%,100%,31.90%,-14.90%,"2,460.31","2,428.20","2,457.59"
9/7/2017,29.28%,34.98%,35.74%,100%,32.03%,-6.50%,"2,480.38","2,428.20","2,465.54"
9/14/2017,41.29%,36.74%,21.97%,100%,32.76%,19.30%,"2,498.37","2,459.20","2,498.37"
9/21/2017,40.14%,32.65%,27.21%,100%,33.47%,12.90%,"2,508.85","2,491.35","2,508.24"
9/28/2017,33.33%,37.93%,28.74%,100%,33.12%,4.60%,"2,511.75","2,488.03","2,507.04"
10/5/2017,35.60%,31.60%,32.80%,100%,33.36%,2.80%,"2,540.53","2,495.91","2,537.74"
10/12/2017,39.77%,33.33%,26.90%,100%,34.06%,12.90%,"2,555.24","2,531.80","2,555.24"
10/19/2017,37.93%,34.14%,27.93%,100%,35.29%,10.00%,"2,564.11","2,547.95","2,561.26"
10/26/2017,39.64%,27.33%,33.03%,100%,37.12%,6.60%,"2,578.29","2,544.00","2,557.15"
11/2/2017,45.05%,26.37%,28.57%,100%,39.09%,16.50%,"2,588.40","2,544.00","2,579.36"
11/9/2017,45.10%,31.82%,23.08%,100%,39.57%,22.00%,"2,597.02","2,566.17","2,594.38"
11/16/2017,29.35%,35.43%,35.22%,100%,38.22%,-5.90%,"2,595.47","2,557.45","2,564.62"
11/23/2017,35.49%,35.49%,29.01%,100%,38.49%,6.50%,"2,601.19","2,557.45","2,602.42"
11/30/2017,35.95%,32.43%,31.62%,100%,38.54%,4.30%,"2,634.89","2,589.17","2,626.07"
12/7/2017,36.88%,28.90%,34.22%,100%,38.17%,2.70%,"2,665.19","2,620.32","2,629.27"
12/14/2017,45.00%,26.88%,28.13%,100%,39.06%,16.90%,"2,671.88","2,624.75","2,662.85"
12/21/2017,50.50%,23.88%,25.62%,100%,40.42%,24.90%,"2,694.97","2,652.01","2,679.25"
12/28/2017,52.65%,26.72%,20.63%,100%,41.36%,32.00%,"2,694.44","2,676.11","2,682.62"
1/4/2018,59.75%,24.69%,15.56%,100%,43.19%,44.20%,"2,714.37","2,673.61","2,713.06"
1/11/2018,48.67%,26.25%,25.07%,100%,45.61%,23.60%,"2,759.14","2,697.77","2,748.23"
1/18/2018,54.11%,24.50%,21.39%,100%,47.94%,32.70%,"2,807.54","2,736.06","2,802.56"
1/25/2018,45.45%,30.52%,24.03%,100%,49.13%,21.40%,"2,852.97","2,778.38","2,837.54"
2/1/2018,44.77%,26.47%,28.76%,100%,50.11%,16.00%,"2,872.87","2,813.04","2,823.81"
2/8/2018,37.03%,27.96%,35.01%,100%,49.12%,2.00%,"2,839.26","2,593.07","2,681.66"
2/15/2018,48.52%,30.07%,21.41%,100%,48.87%,27.10%,"2,727.67","2,532.69","2,698.63"
2/22/2018,44.65%,32.56%,22.79%,100%,47.87%,21.90%,"2,754.42","2,637.08","2,701.33"
3/1/2018,37.28%,39.31%,23.41%,100%,45.06%,13.90%,"2,789.15","2,697.77","2,713.83"
3/8/2018,26.40%,45.21%,28.38%,100%,42.28%,-2.00%,"2,761.52","2,647.32","2,726.80"
3/15/2018,36.84%,41.83%,21.33%,100%,40.12%,15.50%,"2,801.90","2,701.74","2,749.48"
3/22/2018,33.23%,38.28%,28.49%,100%,38.59%,4.70%,"2,777.11","2,694.59","2,711.93"
3/29/2018,31.94%,32.73%,35.33%,100%,36.99%,-3.40%,"2,739.14","2,585.89","2,605.00"
4/5/2018,31.90%,31.47%,36.64%,100%,36.35%,-4.70%,"2,674.78","2,553.80","2,644.69"
4/12/2018,26.09%,31.16%,42.75%,100%,33.54%,-16.70%,"2,672.08","2,573.61","2,642.19"
4/19/2018,37.78%,33.00%,29.22%,100%,32.68%,8.60%,"2,717.49","2,639.25","2,708.64"
4/26/2018,36.91%,37.54%,25.55%,100%,32.64%,11.40%,"2,717.49","2,612.67","2,639.40"
5/3/2018,28.40%,41.36%,30.25%,100%,32.89%,-1.90%,"2,682.87","2,612.67","2,635.67"
5/10/2018,33.51%,40.96%,25.53%,100%,32.47%,8.00%,"2,701.27","2,594.62","2,697.79"
5/17/2018,36.68%,42.74%,20.58%,100%,32.90%,16.10%,"2,742.10","2,674.14","2,722.46"
5/24/2018,38.56%,36.27%,25.16%,100%,33.73%,13.40%,"2,742.24","2,709.18","2,733.29"
5/31/2018,35.02%,38.63%,26.35%,100%,34.12%,8.70%,"2,742.24","2,676.81","2,724.01"
6/7/2018,38.93%,34.35%,26.72%,100%,35.72%,12.20%,"2,772.39","2,700.68","2,772.35"
6/14/2018,44.78%,33.52%,21.70%,100%,36.60%,23.10%,"2,791.47","2,748.46","2,775.63"
6/21/2018,38.72%,35.10%,26.18%,100%,36.82%,12.50%,"2,791.47","2,743.19","2,767.32"
6/28/2018,28.45%,30.75%,40.80%,100%,36.83%,-12.40%,"2,774.86","2,698.67","2,699.63"
7/5/2018,27.86%,32.87%,39.28%,100%,36.12%,-11.40%,"2,746.09","2,691.99","2,713.22"
7/12/2018,43.05%,27.80%,29.15%,100%,36.92%,13.90%,"2,795.58","2,711.16","2,774.02"
7/19/2018,34.66%,40.40%,24.94%,100%,36.43%,9.70%,"2,816.76","2,770.77","2,815.62"
7/26/2018,31.52%,41.58%,26.90%,100%,36.00%,4.60%,"2,848.03","2,795.14","2,846.07"
8/2/2018,29.11%,38.81%,32.08%,100%,34.77%,-3.00%,"2,848.03","2,798.11","2,813.36"
8/9/2018,36.36%,32.60%,31.03%,100%,33.72%,5.30%,"2,863.43","2,796.34","2,857.70"
8/16/2018,36.17%,34.75%,29.08%,100%,33.40%,7.10%,"2,862.48","2,802.49","2,818.37"
