"","date","ticker","activity","sentiment","deltaActivity","deltaSentiment","newEntry"
"8246",2020-07-10,"NFLX",0.0362,1,0.0217,2,FALSE
"8247",2020-07-10,"BA",0.0428,0,0.0261,-1,FALSE
"8248",2020-07-10,"AMZN",0.0172,-1,-0.0012,-2,FALSE
"8249",2020-07-10,"AMD",0.0211,0,-0.0125,-8,FALSE
"8250",2020-07-10,"AAPL",0.0224,1,-0.0393,1,FALSE
"8231",2020-07-13,"TSLA",0.1019,2,0.0561,2,FALSE
"8232",2020-07-13,"TQQQ",0.0146,10,0.000700000000000001,15,FALSE
"8233",2020-07-13,"SPY",0.0147,-2,-0.0202,-5,FALSE
"8234",2020-07-13,"NIO",0.023,4,-0.0739,2,FALSE
"8235",2020-07-13,"NFLX",0.0221,1,0,0,TRUE
"8236",2020-07-13,"MRNA",0.0225,1,0.003,1,FALSE
"8237",2020-07-13,"BA",0.0348,0,0.0222,4,FALSE
"8238",2020-07-13,"AMZN",0.0223,-1,0.0084,-1,FALSE
"8239",2020-07-13,"AMD",0.0149,0,-0.0062,-2,FALSE
"8240",2020-07-13,"AAPL",0.0391,1,0.004,2,FALSE
"8221",2020-07-14,"TSLA",0.0699,2,-0.00409999999999999,2,FALSE
"8222",2020-07-14,"TQQQ",0.0184,7,0.0081,-2,FALSE
"8223",2020-07-14,"SPY",0.0206,-2,0.0096,-5,FALSE
"8224",2020-07-14,"QQQ",0.0187,1,0.0034,2,FALSE
"8225",2020-07-14,"NIO",0.0174,3,-0.0056,-1,FALSE
"8226",2020-07-14,"NFLX",0.0213,0,0.008,1,FALSE
"8227",2020-07-14,"BA",0.0377,0,0.0156,1,FALSE
"8228",2020-07-14,"AMZN",0.0243,-1,0.0082,-2,FALSE
"8229",2020-07-14,"AMD",0.0172,1,0.0018,-5,FALSE
"8230",2020-07-14,"AAPL",0.0401,0,-0.0055,0,FALSE
"8211",2020-07-15,"UAL",0.0205,1,0.0084,-2,FALSE
"8212",2020-07-15,"TSLA",0.0497,2,-0.024,2,FALSE
"8213",2020-07-15,"TQQQ",0.0156,5,0.0045,-5,FALSE
"8214",2020-07-15,"SPY",0.0187,-2,0.0057,-7,FALSE
"8215",2020-07-15,"NFLX",0.0146,1,-0.0067,1,FALSE
"8216",2020-07-15,"MRNA",0.0427,3,0.0267,3,FALSE
"8217",2020-07-15,"GENE",0.0166,-5,0,0,TRUE
"8218",2020-07-15,"BA",0.0495,-1,0.0256,0,FALSE
"8219",2020-07-15,"AMZN",0.0208,-1,0.000999999999999997,-2,FALSE
"8220",2020-07-15,"AAPL",0.0396,1,-0.0166,1,FALSE
"8201",2020-07-16,"UAL",0.0175,2,-0.012,4,FALSE
"8202",2020-07-16,"TSLA",0.0525,1,0.000899999999999998,1,FALSE
"8203",2020-07-16,"TQQQ",0.0174,4,0.0062,0,FALSE
"8204",2020-07-16,"SPY",0.0169,-3,0.0026,-11,FALSE
"8205",2020-07-16,"NFLX",0.0396,2,0.0216,3,FALSE
"8206",2020-07-16,"MSFT",0.0154,1,0.0059,-4,FALSE
"8207",2020-07-16,"MRNA",0.0178,3,-0.0249,0,FALSE
"8208",2020-07-16,"BA",0.0427,0,0.0127,1,FALSE
"8209",2020-07-16,"AMZN",0.0245,-1,0.007,-4,FALSE
"8210",2020-07-16,"AAPL",0.0339,0,-0.0134,0,FALSE
"8191",2020-07-17,"TSLA",0.0327,1,-0.0352,1,FALSE
"8192",2020-07-17,"TQQQ",0.0142,1,0.0043,-4,FALSE
"8193",2020-07-17,"SPY",0.0141,-2,0.0012,-10,FALSE
"8194",2020-07-17,"NIO",0.026,-2,-0.0149,-7,FALSE
"8195",2020-07-17,"NFLX",0.0516,1,0.0334,1,FALSE
"8196",2020-07-17,"MSFT",0.0146,1,0.0015,-5,FALSE
"8197",2020-07-17,"MRNA",0.0704,3,0.0526,0,FALSE
"8198",2020-07-17,"BA",0.0318,0,0.0212,5,FALSE
"8199",2020-07-17,"AMZN",0.0156,-1,-5e-04,-4,FALSE
"8200",2020-07-17,"AAPL",0.0242,0,-0.0169,1,FALSE
"8181",2020-07-20,"TSLA",0.0664,0,-0.0404,0,FALSE
"8182",2020-07-20,"NIO",0.0157,-2,-0.0086,-6,FALSE
"8183",2020-07-20,"NFLX",0.021,1,0.0026,-1,FALSE
"8184",2020-07-20,"MSFT",0.021,1,0.0051,-1,FALSE
"8185",2020-07-20,"MRNA",0.0482,1,0.0235,2,FALSE
"8186",2020-07-20,"BA",0.0265,0,0.0101,7,FALSE
"8187",2020-07-20,"AZN",0.0169,10,0,0,TRUE
"8188",2020-07-20,"AMZN",0.0288,0,0.018,-1,FALSE
"8189",2020-07-20,"AMD",0.016,0,-0.0137,-6,FALSE
"8190",2020-07-20,"AAPL",0.0217,-1,-0.0088,0,FALSE
"8171",2020-07-21,"TSLA",0.0599,1,-0.0041,1,FALSE
"8172",2020-07-21,"TQQQ",0.0164,4,0.001,2,FALSE
"8173",2020-07-21,"SPY",0.0152,-3,-0.000499999999999999,-13,FALSE
"8174",2020-07-21,"QQQ",0.0147,-4,-0.004,-10,FALSE
"8175",2020-07-21,"MSFT",0.0211,1,-0.0029,-1,FALSE
"8176",2020-07-21,"MRNA",0.0166,-1,-0.0077,0,FALSE
"8177",2020-07-21,"BA",0.0424,0,0.0247,7,FALSE
"8178",2020-07-21,"AMZN",0.0274,0,0.0152,-1,FALSE
"8179",2020-07-21,"AMD",0.0164,1,-0.0136,-4,FALSE
"8180",2020-07-21,"AAPL",0.0255,0,-0.0018,2,FALSE
"8161",2020-07-22,"TSLA",0.0531,1,0.0069,1,FALSE
"8162",2020-07-22,"TQQQ",0.0136,1,-0.000100000000000001,-18,FALSE
"8163",2020-07-22,"PFE",0.0156,14,0,0,TRUE
"8164",2020-07-22,"MSFT",0.0278,1,-0.0027,0,FALSE
"8165",2020-07-22,"MRNA",0.0174,-1,0.0021,-1,FALSE
"8166",2020-07-22,"FE",0.015,-8,0,0,TRUE
"8167",2020-07-22,"BA",0.0344,0,0.006,-1,FALSE
"8168",2020-07-22,"AMZN",0.0154,0,-0.0045,-1,FALSE
"8169",2020-07-22,"AMD",0.0558,0,0.0375,-5,FALSE
"8170",2020-07-22,"AAPL",0.0228,-2,-0.009,-1,FALSE
"8151",2020-07-23,"UAL",0.0189,3,-6e-04,2,FALSE
"8152",2020-07-23,"TWTR",0.0203,0,0.000699999999999999,-1,FALSE
"8153",2020-07-23,"TSLA",0.0891,2,0.0015,2,FALSE
"8154",2020-07-23,"SPY",0.0165,-4,0.0042,-10,FALSE
"8155",2020-07-23,"QQQ",0.0154,-6,8e-04,-10,FALSE
"8156",2020-07-23,"MSFT",0.0332,0,0.0217,-7,FALSE
"8157",2020-07-23,"BA",0.0286,-1,-0.0045,-1,FALSE
"8158",2020-07-23,"AMZN",0.0173,0,5e-04,-2,FALSE
"8159",2020-07-23,"AMD",0.0346,1,0.0193,-4,FALSE
"8160",2020-07-23,"AAPL",0.042,-2,0.0095,-1,FALSE
"8141",2020-07-24,"TSLA",0.0576,2,-0.001,2,FALSE
"8142",2020-07-24,"TQQQ",0.0172,-4,-0.000699999999999999,4,FALSE
"8143",2020-07-24,"QQQ",0.0171,-4,-0.0033,-15,FALSE
"8144",2020-07-24,"NFLX",0.0166,-1,-0.0209,-1,FALSE
"8145",2020-07-24,"MSFT",0.0236,0,0.0014,2,FALSE
"8146",2020-07-24,"INTC",0.0385,1,0.0154,5,FALSE
"8147",2020-07-24,"BA",0.0293,-1,0.0141,0,FALSE
"8148",2020-07-24,"AMZN",0.0191,0,0.0062,-1,FALSE
"8149",2020-07-24,"AMD",0.0843,0,0.0677,-6,FALSE
"8150",2020-07-24,"AAPL",0.0438,-2,0.0125,-2,FALSE
"8131",2020-07-27,"TSLA",0.0716,1,0.0356,1,FALSE
"8132",2020-07-27,"TQQQ",0.0131,-4,-0.000699999999999999,0,FALSE
"8133",2020-07-27,"NFLX",0.0192,-1,-0.005,-1,FALSE
"8134",2020-07-27,"MSFT",0.0182,-1,-0.0072,-2,FALSE
"8135",2020-07-27,"MRNA",0.0308,-4,0.0151,-5,FALSE
"8136",2020-07-27,"INTC",0.0157,-3,0,0,TRUE
"8137",2020-07-27,"BA",0.0326,0,-0.009,1,FALSE
"8138",2020-07-27,"AMZN",0.0151,0,-0.0085,-1,FALSE
"8139",2020-07-27,"AMD",0.0485,1,0.0219,-3,FALSE
"8140",2020-07-27,"AAPL",0.033,-2,-0.0098,0,FALSE
"8121",2020-07-28,"TSLA",0.0655,1,0.0306,1,FALSE
"8122",2020-07-28,"TQQQ",0.0143,-4,0.0019,-16,FALSE
"8123",2020-07-28,"SPY",0.0146,-2,-0.0093,-7,FALSE
"8124",2020-07-28,"SHOP",0.0171,1,0.0018,4,FALSE
"8125",2020-07-28,"NFLX",0.0156,-1,-0.0036,0,FALSE
"8126",2020-07-28,"MRNA",0.0229,-3,0.0129,-4,FALSE
"8127",2020-07-28,"KODK",0.0165,17,0,0,TRUE
"8128",2020-07-28,"BA",0.0324,-1,-0.0078,1,FALSE
"8129",2020-07-28,"AMD",0.0437,1,0.0249,-5,FALSE
"8130",2020-07-28,"AAPL",0.0292,-2,-0.0298,-2,FALSE
"8111",2020-07-29,"TSLA",0.0352,1,-0.00369999999999999,1,FALSE
"8112",2020-07-29,"SPY",0.0127,-3,-0.0047,-6,FALSE
"8113",2020-07-29,"SHOP",0.0209,1,0.0038,0,FALSE
"8114",2020-07-29,"NFLX",0.018,-1,0.0073,0,FALSE
"8115",2020-07-29,"MRNA",0.0151,-3,0.000700000000000001,0,FALSE
"8116",2020-07-29,"KODK",0.0422,13,0.0257,-4,FALSE
"8117",2020-07-29,"INTC",0.0114,-1,0,0,TRUE
"8118",2020-07-29,"BA",0.054,-1,0.0294,1,FALSE
"8119",2020-07-29,"AMD",0.0609,0,0.0371,-7,FALSE
"8120",2020-07-29,"AAPL",0.025,-2,-0.042,-2,FALSE
"8101",2020-07-30,"UPS",0.0156,-5,0,0,TRUE
"8102",2020-07-30,"TSLA",0.0272,2,-0.0186,2,FALSE
"8103",2020-07-30,"SPY",0.0173,-2,6e-04,-4,FALSE
"8104",2020-07-30,"QCOM",0.0176,5,0,0,TRUE
"8105",2020-07-30,"NFLX",0.0191,-2,0.0011,-1,FALSE
"8106",2020-07-30,"KODK",0.0177,10,-0.0245,-3,FALSE
"8107",2020-07-30,"BA",0.0342,-2,0.0169,-2,FALSE
"8108",2020-07-30,"AMZN",0.0183,0,0.0041,-1,FALSE
"8109",2020-07-30,"AMD",0.0434,0,0,-7,FALSE
"8110",2020-07-30,"AAPL",0.0359,-1,-0.0429,-1,FALSE
"8091",2020-07-31,"TSLA",0.0363,2,-0.0322,2,FALSE
"8092",2020-07-31,"TQQQ",0.0171,0,0.0021,1,FALSE
"8093",2020-07-31,"SPY",0.0168,-3,-0.0015,-6,FALSE
"8094",2020-07-31,"PINS",0.0209,3,0.0017,-1,FALSE
"8095",2020-07-31,"MSFT",0.0219,-1,-0.0089,-5,FALSE
"8096",2020-07-31,"FB",0.0274,0,-0.0112,-1,FALSE
"8097",2020-07-31,"BA",0.0296,-2,0.0218,-2,FALSE
"8098",2020-07-31,"AMZN",0.0197,0,-0.0024,-1,FALSE
"8099",2020-07-31,"AMD",0.0327,0,0.0044,-5,FALSE
"8100",2020-07-31,"AAPL",0.086,-1,0.0403,-1,FALSE
"8081",2020-08-03,"TSLA",0.0295,1,0.0069,1,FALSE
"8082",2020-08-03,"SPY",0.0128,-3,-0.0019,-6,FALSE
"8083",2020-08-03,"NVDA",0.0134,-1,-0.0033,0,FALSE
"8084",2020-08-03,"MSFT",0.047,-1,0.0354,-3,FALSE
"8085",2020-08-03,"FB",0.0139,0,0.0046,2,FALSE
"8086",2020-08-03,"BA",0.0304,-2,-0.0056,4,FALSE
"8087",2020-08-03,"AMZN",0.0139,1,-0.0115,0,FALSE
"8088",2020-08-03,"AMD",0.0209,1,-0.0132,-5,FALSE
"8089",2020-08-03,"ADT",0.022,5,0,0,TRUE
"8090",2020-08-03,"AAPL",0.0831,0,0.0286,1,FALSE
"8071",2020-08-04,"TSLA",0.0248,1,-0.0244,0,FALSE
"8072",2020-08-04,"TQQQ",0.0119,6,0.0011,1,FALSE
"8073",2020-08-04,"SRNE",0.016,4,0,0,TRUE
"8074",2020-08-04,"SPY",0.012,-2,-0.0058,-5,FALSE
"8075",2020-08-04,"NKLA",0.0151,2,0,0,TRUE
"8076",2020-08-04,"MSFT",0.0276,1,0.0173,1,FALSE
"8077",2020-08-04,"BA",0.0304,-1,-0.0027,4,FALSE
"8078",2020-08-04,"AMZN",0.0146,0,-0.0101,-1,FALSE
"8079",2020-08-04,"AMD",0.0822,2,0.0475,-5,FALSE
"8080",2020-08-04,"AAPL",0.0536,0,-0.0084,1,FALSE
"8061",2020-08-05,"TSLA",0.0148,1,-0.1912,1,FALSE
"8062",2020-08-05,"TDOC",0.0155,0,0,0,TRUE
"8063",2020-08-05,"SRNE",0.0163,4,0.000299999999999998,0,FALSE
"8064",2020-08-05,"SQ",0.0252,2,0,0,TRUE
"8065",2020-08-05,"NVAX",0.0138,-1,0,0,TRUE
"8066",2020-08-05,"MSFT",0.0163,1,-0.0021,-2,FALSE
"8067",2020-08-05,"DIS",0.0276,-7,0.016,-14,FALSE
"8068",2020-08-05,"BA",0.0451,-1,0.0177,1,FALSE
"8069",2020-08-05,"AMD",0.0384,2,0.0235,1,FALSE
"8070",2020-08-05,"AAPL",0.0354,1,-0.0016,1,FALSE
"8051",2020-08-06,"UAL",0.0152,1,-0.0143,-1,FALSE
"8052",2020-08-06,"TSLA",0.0155,1,-0.1505,2,FALSE
"8053",2020-08-06,"SQ",0.0144,1,-0.0108,-1,FALSE
"8054",2020-08-06,"MSFT",0.0176,1,-0.0054,-2,FALSE
"8055",2020-08-06,"FSLY",0.0142,0,0,0,TRUE
"8056",2020-08-06,"FB",0.0318,0,0.0182,1,FALSE
"8057",2020-08-06,"DIS",0.0137,-3,-0.0047,-9,FALSE
"8058",2020-08-06,"BA",0.0342,0,0.0078,1,FALSE
"8059",2020-08-06,"AMD",0.0326,3,0.0171,3,FALSE
"8060",2020-08-06,"AAPL",0.0629,1,0.0304,2,FALSE
"8041",2020-08-07,"TSLA",0.0218,1,-0.0074,0,FALSE
"8042",2020-08-07,"TQQQ",0.0153,6,0.006,0,FALSE
"8043",2020-08-07,"SPY",0.0146,-1,0.0012,-3,FALSE
"8044",2020-08-07,"RKT",0.0119,3,0,0,TRUE
"8045",2020-08-07,"QQQ",0.0135,4,-0.0044,3,FALSE
"8046",2020-08-07,"MSFT",0.0153,1,0.0048,3,FALSE
"8047",2020-08-07,"FB",0.0639,0,0.0534,1,FALSE
"8048",2020-08-07,"BA",0.0189,0,0.0092,0,FALSE
"8049",2020-08-07,"AMD",0.0327,3,0.0108,-5,FALSE
"8050",2020-08-07,"AAPL",0.0565,1,0.0044,1,FALSE
"8031",2020-08-10,"UAL",0.0128,1,0.0012,-2,FALSE
"8032",2020-08-10,"TSLA",0.0203,1,-0.0486,0,FALSE
"8033",2020-08-10,"SRNE",0.0179,2,0,0,TRUE
"8034",2020-08-10,"SPY",0.0128,0,6e-04,-4,FALSE
"8035",2020-08-10,"NKLA",0.0147,3,-0.0128,4,FALSE
"8036",2020-08-10,"MSFT",0.0176,1,0.0064,-1,FALSE
"8037",2020-08-10,"FB",0.0218,-1,0.0075,0,FALSE
"8038",2020-08-10,"BA",0.033,0,0.0163,-1,FALSE
"8039",2020-08-10,"AMD",0.0312,2,-0.0024,-6,FALSE
"8040",2020-08-10,"AAPL",0.0698,1,0.0081,1,FALSE
"8021",2020-08-11,"UAL",0.0149,1,-0.0127,0,FALSE
"8022",2020-08-11,"TSLA",0.0178,0,-0.0181,0,FALSE
"8023",2020-08-11,"SRNE",0.0185,3,6e-04,1,FALSE
"8024",2020-08-11,"SPY",0.0147,-1,-0.000100000000000001,-3,FALSE
"8025",2020-08-11,"QQQ",0.0128,3,-0.0044,2,FALSE
"8026",2020-08-11,"NIO",0.0138,5,-0.017,0,FALSE
"8027",2020-08-11,"FB",0.0182,-1,0.0058,0,FALSE
"8028",2020-08-11,"BA",0.05,0,0.0364,0,FALSE
"8029",2020-08-11,"AMD",0.0291,1,0.0061,-7,FALSE
"8030",2020-08-11,"AAPL",0.0445,2,-0.0192,2,FALSE
"8011",2020-08-12,"TSLA",0.0773,1,0.0296,2,FALSE
"8012",2020-08-12,"SRNE",0.0143,3,-0.0042,0,FALSE
"8013",2020-08-12,"SPY",0.0132,-2,-0.001,-7,FALSE
"8014",2020-08-12,"NVDA",0.0135,0,-0.007,-2,FALSE
"8015",2020-08-12,"MSFT",0.0153,0,-0.0286,-5,FALSE
"8016",2020-08-12,"MRNA",0.0195,0,0.0046,1,FALSE
"8017",2020-08-12,"FB",0.0141,0,-0.0065,-1,FALSE
"8018",2020-08-12,"BA",0.0442,1,0.0256,4,FALSE
"8019",2020-08-12,"AMD",0.0419,1,0.0111,-1,FALSE
"8020",2020-08-12,"AAPL",0.0491,1,0.0186,2,FALSE
"8001",2020-08-13,"TSLA",0.0956,1,0.0498,1,FALSE
"8002",2020-08-13,"TQQQ",0.0145,3,0.000600000000000002,8,FALSE
"8003",2020-08-13,"SPY",0.0134,-3,-0.0215,-6,FALSE
"8004",2020-08-13,"QQQ",0.0135,3,-0.003,2,FALSE
"8005",2020-08-13,"NVDA",0.0123,1,-0.000699999999999999,0,FALSE
"8006",2020-08-13,"MSFT",0.014,0,-0.0258,-4,FALSE
"8007",2020-08-13,"CSCO",0.0175,1,0,0,TRUE
"8008",2020-08-13,"BA",0.0229,1,0.0103,5,FALSE
"8009",2020-08-13,"AMD",0.0333,1,0.0122,-1,FALSE
"8010",2020-08-13,"AAPL",0.0712,1,0.0361,2,FALSE
"7991",2020-08-14,"UAL",0.0121,3,0,0,TRUE
"7992",2020-08-14,"TSLA",0.058,1,-0.016,1,FALSE
"7993",2020-08-14,"TQQQ",0.0157,5,0.0054,-4,FALSE
"7994",2020-08-14,"SPY",0.0145,-2,0.0035,-5,FALSE
"7995",2020-08-14,"QQQ",0.0132,6,-0.0021,7,FALSE
"7996",2020-08-14,"NVDA",0.0169,2,0.0014,1,FALSE
"7997",2020-08-14,"NVAX",0.0133,-2,0,0,TRUE
"7998",2020-08-14,"BA",0.043,1,0.0209,2,FALSE
"7999",2020-08-14,"AMD",0.029,0,0.0136,-6,FALSE
"8000",2020-08-14,"AAPL",0.0699,2,0.0243,2,FALSE
"7981",2020-08-17,"TSLA",0.1081,2,0.0402,2,FALSE
"7982",2020-08-17,"TQQQ",0.0089,5,-0.001,0,FALSE
"7983",2020-08-17,"SPY",0.0094,-3,-0.0035,-11,FALSE
"7984",2020-08-17,"OSTK",0.01,0,0,0,TRUE
"7985",2020-08-17,"NVDA",0.0267,2,0.004,2,FALSE
"7986",2020-08-17,"MSFT",0.0106,-1,-0.0025,-7,FALSE
"7987",2020-08-17,"BA",0.0191,1,0.0085,6,FALSE
"7988",2020-08-17,"AMZN",0.0102,0,-0.0059,-3,FALSE
"7989",2020-08-17,"AMD",0.0146,-1,-0.0113,-4,FALSE
"7990",2020-08-17,"AAPL",0.0429,2,0.0018,3,FALSE
"7971",2020-08-18,"WMT",0.0156,6,-0.0018,6,FALSE
"7972",2020-08-18,"TSLA",0.0866,2,0.043,2,FALSE
"7973",2020-08-18,"SPY",0.0121,-2,-0.0024,-10,FALSE
"7974",2020-08-18,"NVDA",0.0225,2,-0.0042,0,FALSE
"7975",2020-08-18,"MSFT",0.0118,-1,-0.002,-8,FALSE
"7976",2020-08-18,"FB",0.014,-1,-0.0055,-1,FALSE
"7977",2020-08-18,"BA",0.0192,2,0.0014,1,FALSE
"7978",2020-08-18,"AMZN",0.0217,0,0.0016,-2,FALSE
"7979",2020-08-18,"AMD",0.0135,0,-0.0104,-3,FALSE
"7980",2020-08-18,"AAPL",0.0389,2,-0.00700000000000001,3,FALSE
"7961",2020-08-19,"TSLA",0.0586,1,-0.0037,1,FALSE
"7962",2020-08-19,"TGT",0.031,2,6e-04,2,FALSE
"7963",2020-08-19,"SPY",0.0154,-1,0.0024,-13,FALSE
"7964",2020-08-19,"NVDA",0.0222,3,0.0016,3,FALSE
"7965",2020-08-19,"MSFT",0.0132,-1,-0.0095,-3,FALSE
"7966",2020-08-19,"FB",0.0186,-1,0.0046,0,FALSE
"7967",2020-08-19,"BA",0.0235,2,0.000699999999999999,8,FALSE
"7968",2020-08-19,"AMZN",0.0138,0,0.0021,-1,FALSE
"7969",2020-08-19,"AMD",0.0193,0,-0.0131,-5,FALSE
"7970",2020-08-19,"AAPL",0.052,2,-0.00480000000000001,2,FALSE
"7951",2020-08-20,"TSLA",0.1026,2,-0.00420000000000001,2,FALSE
"7952",2020-08-20,"SPY",0.0126,-1,0.002,-13,FALSE
"7953",2020-08-20,"NVDA",0.0394,3,0.0101,3,FALSE
"7954",2020-08-20,"MSFT",0.0143,-3,-0.0016,-5,FALSE
"7955",2020-08-20,"LYFT",0.0127,-1,0,0,TRUE
"7956",2020-08-20,"FSLY",0.0123,0,0,0,TRUE
"7957",2020-08-20,"FB",0.0154,0,-0.0036,1,FALSE
"7958",2020-08-20,"BA",0.0228,2,0.0064,9,FALSE
"7959",2020-08-20,"AMD",0.0222,0,-0.0075,-6,FALSE
"7960",2020-08-20,"AAPL",0.049,2,0.0185,3,FALSE
"7941",2020-08-21,"TSLA",0.0729,2,0.00890000000000001,2,FALSE
"7942",2020-08-21,"TQQQ",0.0123,4,-0.0031,2,FALSE
"7943",2020-08-21,"SPY",0.0123,-1,-0.0034,-11,FALSE
"7944",2020-08-21,"QQQ",0.0115,-2,-0.0072,-8,FALSE
"7945",2020-08-21,"NVDA",0.0429,3,0.0108,3,FALSE
"7946",2020-08-21,"MSFT",0.0149,-3,-0.0091,-5,FALSE
"7947",2020-08-21,"BABA",0.0121,2,-0.0085,3,FALSE
"7948",2020-08-21,"BA",0.0154,1,-0.0023,8,FALSE
"7949",2020-08-21,"AMD",0.0245,1,-0.0055,-4,FALSE
"7950",2020-08-21,"AAPL",0.1206,2,0.0933,4,FALSE
"7931",2020-08-24,"UAL",0.0135,3,-0.0052,2,FALSE
"7932",2020-08-24,"TSLA",0.0777,2,0.0191,2,FALSE
"7933",2020-08-24,"TQQQ",0.0141,3,-0.0038,11,FALSE
"7934",2020-08-24,"QQQ",0.0135,-2,-0.0069,-13,FALSE
"7935",2020-08-24,"NVDA",0.0167,3,-0.0121,3,FALSE
"7936",2020-08-24,"FB",0.0149,-1,8e-04,0,FALSE
"7937",2020-08-24,"BA",0.0289,1,0.0137,2,FALSE
"7938",2020-08-24,"AMZN",0.016,0,0.0031,-1,FALSE
"7939",2020-08-24,"AMD",0.0178,2,0.0012,-4,FALSE
"7940",2020-08-24,"AAPL",0.1138,3,0.0825,3,FALSE
"7921",2020-08-25,"UAL",0.0123,4,-0.0045,3,FALSE
"7922",2020-08-25,"TSLA",0.044,2,0.0086,2,FALSE
"7923",2020-08-25,"SPY",0.0128,-2,-0.0083,-5,FALSE
"7924",2020-08-25,"NIO",0.0378,0,-0.022,-3,FALSE
"7925",2020-08-25,"FB",0.029,0,0.0073,-1,FALSE
"7926",2020-08-25,"BABA",0.0169,3,-0.1152,4,FALSE
"7927",2020-08-25,"BA",0.0281,1,0.0045,2,FALSE
"7928",2020-08-25,"AMZN",0.0132,0,-0.0059,-1,FALSE
"7929",2020-08-25,"AMD",0.0272,2,-0.0012,-5,FALSE
"7930",2020-08-25,"AAPL",0.0854,2,0.0382,2,FALSE
"7911",2020-08-26,"TSLA",0.0429,1,0.0029,1,FALSE
"7912",2020-08-26,"TQQQ",0.0144,5,0.000199999999999999,7,FALSE
"7913",2020-08-26,"NIO",0.0384,1,0.000599999999999996,1,FALSE
"7914",2020-08-26,"NFLX",0.0242,0,0.0127,4,FALSE
"7915",2020-08-26,"MSFT",0.0172,-1,-0.01,-1,FALSE
"7916",2020-08-26,"FB",0.0445,0,0.0155,0,FALSE
"7917",2020-08-26,"CRM",0.0422,0,0.028,-1,FALSE
"7918",2020-08-26,"AMZN",0.0156,0,-0.0074,0,FALSE
"7919",2020-08-26,"AMD",0.0201,2,-0.0065,-1,FALSE
"7920",2020-08-26,"AAPL",0.0565,2,0.0112,5,FALSE
"7901",2020-08-27,"WMT",0.0185,4,0,0,TRUE
"7902",2020-08-27,"TSLA",0.0771,1,0.0411,1,FALSE
"7903",2020-08-27,"TQQQ",0.0171,6,0.0033,10,FALSE
"7904",2020-08-27,"QQQ",0.0155,2,-5e-04,-5,FALSE
"7905",2020-08-27,"NIO",0.0233,2,-0.0151,1,FALSE
"7906",2020-08-27,"MSFT",0.0323,0,0.0069,-1,FALSE
"7907",2020-08-27,"FB",0.0217,0,-0.0046,1,FALSE
"7908",2020-08-27,"BA",0.0222,1,-0.0194,2,FALSE
"7909",2020-08-27,"AMD",0.0156,3,-0.011,-1,FALSE
"7910",2020-08-27,"AAPL",0.0505,2,0.00770000000000001,4,FALSE
"7891",2020-08-28,"TSLA",0.0759,1,0.041,1,FALSE
"7892",2020-08-28,"ROKU",0.0273,0,0,0,TRUE
"7893",2020-08-28,"NVDA",0.0215,1,0.0074,2,FALSE
"7894",2020-08-28,"NTNX",0.0164,0,0,0,TRUE
"7895",2020-08-28,"NIO",0.0185,3,-0.0048,1,FALSE
"7896",2020-08-28,"MSFT",0.0182,1,0.0035,-3,FALSE
"7897",2020-08-28,"CRM",0.0155,-1,0,0,TRUE
"7898",2020-08-28,"BA",0.0207,1,-0.0195,3,FALSE
"7899",2020-08-28,"AMD",0.0206,2,0.0018,-4,FALSE
"7900",2020-08-28,"AAPL",0.06,3,0.001,3,FALSE
"7881",2020-08-31,"ZM",0.0181,5,0.0016,5,FALSE
"7882",2020-08-31,"TSLA",0.1657,2,0.0972,2,FALSE
"7883",2020-08-31,"SPY",0.0128,-2,-0.0055,-5,FALSE
"7884",2020-08-31,"NVDA",0.0159,1,-0.01,0,FALSE
"7885",2020-08-31,"NIO",0.0185,3,-0.0108,1,FALSE
"7886",2020-08-31,"MSFT",0.0139,1,-0.0169,-3,FALSE
"7887",2020-08-31,"FB",0.0116,1,-0.027,0,FALSE
"7888",2020-08-31,"BA",0.0114,1,0.0036,1,FALSE
"7889",2020-08-31,"AMD",0.0466,1,0.0183,-4,FALSE
"7890",2020-08-31,"AAPL",0.1187,5,0.073,5,FALSE
"7871",2020-09-01,"ZM",0.0799,3,0,0,TRUE
"7872",2020-09-01,"WMT",0.0208,4,0,0,TRUE
"7873",2020-09-01,"TSLA",0.1183,2,0,0,TRUE
"7874",2020-09-01,"NVDA",0.0177,2,0,0,TRUE
"7875",2020-09-01,"NIO",0.0151,3,0,0,TRUE
"7876",2020-09-01,"MSFT",0.0123,2,0,0,TRUE
"7877",2020-09-01,"DOCU",0.0183,1,0,0,TRUE
"7878",2020-09-01,"BA",0.0136,1,0,0,TRUE
"7879",2020-09-01,"AMD",0.0257,1,0,0,TRUE
"7880",2020-09-01,"AAPL",0.077,6,0,0,TRUE
"7861",2020-09-02,"ZM",0.0241,0,0.0021,2,FALSE
"7862",2020-09-02,"TSLA",0.1231,1,0.0991,1,FALSE
"7863",2020-09-02,"TQQQ",0.0163,7,0.000999999999999999,0,FALSE
"7864",2020-09-02,"NVDA",0.0321,3,0.0154,3,FALSE
"7865",2020-09-02,"MSFT",0.0144,1,-0.0153,0,FALSE
"7866",2020-09-02,"FB",0.0147,1,-0.0024,1,FALSE
"7867",2020-09-02,"DOCU",0.0255,2,0.0072,1,FALSE
"7868",2020-09-02,"CRWD",0.0158,4,0,0,TRUE
"7869",2020-09-02,"AMD",0.0175,2,-0.0097,-2,FALSE
